ID,geometry,Author,Shakun_id,Marcott_id,Location,Proxy Type,Lat (°),Lon (°),Elev/Depth (m a.s.l),Avg. Resolution,Season_int,Reference,Notes,Temperature Calibration Used,Calibration Equation,Additional Age Model Reference,Uploader
24,Point,Rodrigo-Gamiz,0,0,TTR-12-293G,LDI,36.17357,-2.75467,-1840,201,Summer-Autumn,"Rodrigo-Gamiz et al., 2014",,"Rampen et al., 2012",,"Rodrigo-gamiz et al., 2011",Jones
25,Point,Martrat ,0,0,MD95-2043,UK'37,36.10,-2.60,-1841,132,,Martrat et al. 2014,,,,,Hupp
26,Point,Krause,0,0,White_Pond ,GDGT,34.16667,-80.775,90,240,,T. R. Krause et al. 2018,,,,,McDowell
27,Point,Clemens,0,0,IODPU1429,UK’37,31.617333,128.9975,-732,165,,"Clemens et al., 2018",,"Prahl et al., 1988",UK’37 = 0.034 T + 0.039 ,,Jones
28,Point,Clemens,0,0,IODPU1429,Mg/Ca - G.ruber w.,31.617333,128.9975,-732,165,,"Clemens et al., 2018",,"Tierney et al., 2016",,,Jones
29,Point,Fastovich,0,0,Sheelar_Lake,GDGT,29.8392,-81.9579,144,210,,D. Fastovich et al. (in prep) ,Unpublished - DO NOT USE BEFORE PUBLICATION,,,,McDowell
30,Point,McClymont,0,0,MD02-2515,UK'37,27.4835,-112.0743,-881,65,Summer,"McClymont et al., 2012",,"Muller et al., 1998",,,Jones
31,Point,McClymont,0,0,MD02-2515,Tex86,27.4835,-112.0743,-881,75,Subsurface,"McClymont et al., 2012",,"Kim et al., 2010;",,,Jones
32,Point,Schmidt,0,0,KNR166-2-26JPC,Mg/Ca - G.ruber w.,24.3336,-83.254,-546,100,Annual,"Schmidt and Lynch-Steiglitz, 2011",,Anand et al. 2003,,,Jones
33,Point,Boll,0,0,SO90-93KL,UK'37,23.60,64.20,-1802,312,,Boll et al. 2010,,,,,Hupp
34,Point,Yang,0,0,SO204B,Mg/Ca - G. ruber,21.2303,118.0513,-1822,225,,"Yang et al., 2019",,"Dekens et al., 2002",,,Jones
35,Point,Yang,0,0,SO204B,Mg/Ca - G. Inflata,21.2303,118.0513,-1822,225,,"Yang et al., 2019",,"Cleroux et al., 2008",,,Jones
36,Point,Boll,0,0,MD00-2345,UK’37,21,61.5,-2740,144,,Boll et al. 2010,,,,,Hupp
37,Point,Kim,0,0,GeoB7926-2,UK'37,20.2133,-18.4517,-2500,160,Annual,"Kim et al., 2012",,"Muller et al., 1998",,"McKay et al., 2014; Romero et al., 2008",Jones
38,Point,Kim,0,0,GeoB7926-2,Tex86,20.2133,-18.4517,-2500,153,Annual Subsurface,"Kim et al., 2012",,"Kim et al., 2010",,"McKay et al., 2014; Romero et al., 2008",Jones
39,Point,Yang,0,0,GHE27L,Mg/Ca - P. obliq.,19.85,115.34,-1533,152,,"Yang et al., 2019",,"Anand et al., 2003",,,Jones
40,Point,Lauterbach,0,0,SO188-17286-1,UK'37,19.743,89.8793,-1428,215,Annual,"Lauterbach et al., 2020",,"Sonzogni et al., 1997",,,Jones
41,Point,Weldeab,0,0,GeoB9310-4,Mg/Ca - G. ruber,19.2018,37.0415,-543,110,Annual,Weldeab et al. 2014,,,,,Marcott
