id,name,min_yr,max_yr,total_record,resolution,record_holocene,record_deglacier,resolution_holocene,resolution_deglacier
149,Ennadai-1.Nichols.1967.lpd.csv,600,6616.5,31,194.0806452,31,0,194.0806452,0
150,Ennadai-2.Nichols.1975.lpd.csv,636.2,5392.4,117,40.65128205,117,0,40.65128205,0
151,EPICA.csv,38.3738,12014.4326,664,18.03623313,555,109,17.93798775,18.70339358
152,EPICADomeC.Stenni.2010.lpd.csv,38.3737946,12978.3389,701,18.45929402,555,146,17.93798781,20.56559041
153,ERDC_092BX.Palmer.2003.lpd.csv,400,23200,28,814.2857143,12,16,766.6666667,893.75
154,ESM-1.Mackay.2012.lpd.csv,29,11206,30,372.5666667,27,3,358.6296296,649.3333333
155,Etangd'yCorMontana.Welten.1982.lpd.csv,354.08,14312.84,91,153.392967,71,20,133.1652113,235.517
156,EW0408_66JC.Praetorius.2015.lpd.csv,4246,13573.75,384,24.29101563,47,337,120.5106383,11.04970326
157,EW0408_85JC.Praetorius.2015.lpd.csv,993.737,17390,251,65.32375697,133,118,67.40423308,63.61016949
158,FanLake.Foster.2016.lpd.csv,-52,6293,81,78.33333333,81,0,78.33333333,0
159,Ferndale.Albert.1981.lpd.csv,0,7362,58,126.9310345,58,0,126.9310345,0
160,Flarken Lake.csv,-49.62,10913.97,108,101.5147222,102,6,97.65186275,187.92
161,Flarken.Berglund.1966.lpd.csv,247.67,12185.51,114,104.7178947,101,13,95.70108911,184.1323077
162,Flarken.Seppa.2005.lpd.csv,-49.623,8981.785,91,99.24624176,91,0,99.24624176,0
163,Flotatjonn.Seppa.2009.lpd.csv,-43.5,9020.71,43,210.7955814,43,0,210.7955814,0
164,FontaineHenry.Lespez.2008.lpd.csv,374.17,5122.17,60,79.13333333,60,0,79.13333333,0
165,Frozen.Rosenberg.2004.lpd.csv,-127.935,11426.52,49,235.8052041,43,6,234.979186,282.0116667
166,Gammelheimvatnet.Seppa.2009.lpd.csv,-42.16,8968.1,74,121.7602703,74,0,121.7602703,0
167,Gass.Webb.1983.lpd.csv,1,13753,48,286.5,36,12,271.25,362.5
168,GB1.Gajewski.1991.lpd.csv,0,6390,23,277.826087,23,0,277.826087,0
169,GB2.Gajewski.1993.lpd.csv,56,7225,58,123.6034483,58,0,123.6034483,0
170,Gemini.Samartin.2017.lpd.csv,-58,14020,79,178.2025316,65,14,153.5076923,304.4285714
171,GeoB 10038-4.csv,0,15230,28,543.9285714,20,8,484.9545,768.18125
172,GeoB 1023-5.csv,310,12710,82,151.2195122,47,35,203.4042553,85.42857143
173,GeoB 1023-5_shakun.csv,310,21190,186,112.2580645,47,139,203.4042553,82.51798561
174,GeoB 3313-1.csv,283.26,6989.94,75,89.4224,75,0,89.4224,0
175,GeoB 5901-2.csv,1130,9612.5,251,33.79482072,251,0,33.79482072,0
176,GeoB 651-1 MBTCBT_shakun.csv,30,25790,121,212.892562,73,48,136.1643836,333.125
177,GeoB 6518-1 MBT.csv,30,22869,541,42.21626617,73,468,136.1643836,27.92521368
178,GeoB 6518-1 UK37_shakun.csv,30,19498,97,200.7010309,58,39,171.3793103,248.7435897
179,GeoB 6518-1.csv,30,14690,87,168.5057471,58,29,171.3793103,168.7241379
180,GeoB 7139-2.csv,1160,14950,31,444.8387097,17,14,512.3529412,402.1428571
181,GeoB 7702-3.csv,141.75,14584.64,64,225.6701563,51,13,188.2939216,420.0769231
182,GeoB10042_1.Setiawan.2015.lpd.csv,4200,39420,106,332.2641509,45,61,128.8888889,484.9180328
183,GeoB10043_3.Setiawan.2015.lpd.csv,210,33630,69,484.3478261,41,28,228.5365854,866.7857143
184,GeoB10053_7.Mohtadi.2010.lpd.csv,240,21980,291,74.70790378,130,161,74.92307692,74.8447205
185,GeoB10069_3.Gibbons.2014.lpd.csv,470.123,35239.58,327,106.3286147,113,214,83.88846903,118.7346729
186,GeoB1023_5.Kim.2002.lpd.csv,6,21190,241,87.90041494,63,178,157.5238095,63.59550562
187,GeoB12605_3.Kuhnert.2014.lpd.csv,1335,9710,243,34.46502058,243,0,34.46502058,0
188,GeoB12615_4.Romahn.2014.lpd.csv,766,38790,135,281.6592593,92,43,98.55434783,678.0232558
189,GeoB1711_4.Kirst.1999.lpd.csv,400,135000,213,631.9248826,16,197,568.75,638.5786802
190,GeoB17419_1.Hollstein.2018.lpd.csv,801.8,111350,217,509.4387097,23,194,398.8347826,523.5953608
191,GeoB3104_1.Arz.1998.lpd.csv,1390,48170,201,232.7363184,17,184,495.8823529,210.4347826
192,GeoB3129-1.csv,170,13900,115,119.3913043,49,66,198.9795918,62.72727273
193,GeoB3129_1.Weldeab.2006.lpd.csv,170,14340,116,122.1551724,49,67,198.9795918,68.35820896
194,GeoB3129_shakun.csv,170,20740,164,125.4268293,49,115,198.9795918,95.47826087
195,GeoB33131.Lamy.2002.lpd.csv,13,6963,161,43.16770186,161,0,43.16770186,0
196,GeoB3910-2.csv,1310,14930,41,332.195122,19,22,454.7368421,235.9090909
197,GeoB3910_2.Arz.2001.lpd.csv,245,62280,334,185.7335329,97,237,100.4226804,220.8734177
198,GeoB3910_shakun.csv,1310,62280,246,247.8455285,19,227,454.7368421,231.4537445
199,GeoB4905-4.csv,60,14610,65,223.8461538,41,24,234.1463415,213.75
200,GeoB4905_4.Weldeab.2005.lpd.csv,60,21770,139,156.1870504,58,81,168.6206897,149.5061728
201,GeoB4905_shakun.csv,60,21770,111,195.5855856,41,70,234.1463415,175.5714286
202,GeoB5844-2.csv,813.2,15146.9,52,275.6480769,32,20,285.4625,271.345
203,GeoB5844-2_shakun.csv,813,21014,68,297.0735294,32,36,285.46875,313.7222222
204,GeoB5844_2.Arz.2003.lpd.csv,516,21014.2,88,232.9340909,34,54,277.4117647,209.1518519
205,GeoB5901_2.Kim.2004.lpd.csv,1130,9920,268,32.79850746,268,0,32.79850746,0
206,GeoB6518_1.Schefu.2005.lpd.csv,30,19498,114,170.7719298,73,41,136.1643836,236.6097561
207,GeoB65181_MBT.Weijers.2007.lpd.csv,-3.116,14941.233,103,145.090767,72,31,138.4436528,164.2268065
208,GeoB7139-2_shakun.csv,1160,41080,109,366.2385321,17,92,512.3529412,345.2173913
209,GeoB7702-3_shakun.csv,142,26617,115,230.2173913,51,64,188.2941176,273.328125
210,GeoB7702_3.Castaneda.2010.lpd.csv,142,26617,115,230.2173913,51,64,188.2941176,273.328125
211,GeoB7926_2.Kim.2012.lpd.csv,226.61,48493.28,274,176.1557299,19,255,496.31,154.2648235
212,GeoB9307_3.Weldeab.2014.lpd.csv,0,17298,249,69.46987952,72,177,138.6527778,41.74124294
213,GeoB9310_4.Weldeab.2014.lpd.csv,419.966,13958.43,128,105.76925,72,56,132.3933472,72.64423214
214,GEOFAR_KF16_MgCa.Repschlager.2016.lpd.csv,524,11258,98,109.5306122,89,9,105.1797753,163.4444444
215,GGC19.Farmer.2011.lpd.csv,52,6660,88,75.09090909,88,0,75.09090909,0
216,Giecz.Milecka.2002.lpd.csv,150.97,9050.46,71,125.3449296,71,0,125.3449296,0
217,Giering.Bortenschlager.1976.lpd.csv,187.68,16943.73,81,206.8648148,45,36,216.9671111,195.8977778
218,GIK17049_6.Jung.1996.lpd.csv,776,141157,230,610.3521739,31,199,255.7096774,669.2110553
219,GIK17051_3.Jung.1996.lpd.csv,859,84220,217,384.1520737,37,180,246.0540541,413.6555556
220,GIK17748-2.Kim.2002.lpd.csv,1080,16070,54,277.5925926,23,31,380.4347826,216.4516129
221,GIK17940_2.Pelejero.1999.lpd.csv,14,41106.75,878,46.80267654,397,481,25.14609572,64.7016632
222,GIK18287_3.Kienast.2001.lpd.csv,3389,16507,119,110.2352941,41,78,159.3658537,85.73076923
223,GiK18515_3.lpd.csv,214,26421,335,78.22985075,81,254,120.5061728,64.92519685
224,GIK23258-2.csv,698,13911,284,46.52464789,219,65,42.44748858,60.41538462
225,GIK23258.Sarnthein.2003.lpd.csv,698,13987,285,46.62807018,219,66,42.44748858,60.65151515
226,GIK23258_2.Martrat.2003.lpd.csv,670,14120,387,34.75452196,218,169,42.79816514,24.43786982
227,Gilltjarnen.Antonsson.2006.lpd.csv,-49.974,10706.78,57,188.7149825,53,4,186.1660566,247.97225
228,GISP2.Kobashi.2017.lpd.csv,-43,11512,11556,0.999913465,10044,1512,0.999900438,1.000661376
229,Glaswaldsee.EPD.lpd.csv,376.23,10274.68,153,64.69575163,152,1,62.37052632,819.42
230,Gloppsjon.Seppa.2009.lpd.csv,0,8971.748,73,122.9006575,73,0,122.9006575,0
231,GodziszewskieLake.Miotk.1986.lpd.csv,212.13,9520.91,86,108.2416279,86,0,108.2416279,0
232,GondoAlpjen.Welten.1982.lpd.csv,151.05,6577.36,42,153.007381,42,0,153.007381,0
233,Gosciaz.Welten.1982.lpd.csv,-35.95,12813.58,278,46.22133094,191,87,52.38958115,33.29931034
234,Gould.Anderson.2008.lpd.csv,-66,14478,73,199.2328767,51,22,193.627451,226.2727273
235,GraechenSee.Krisai.2006.lpd.csv,25.36,8318.67,81,102.3865432,81,0,102.3865432,0
236,Graham.Fuller.1997.lpd.csv,1,11611,208,55.81730769,199,9,49.61809045,210.3333333
237,GrandeBriere.Visset.1979.lpd.csv,253.23,4951.3,48,97.87645833,48,0,97.87645833,0
238,GravelRidge.Lamb.1985.lpd.csv,47,7279,45,160.7111111,45,0,160.7111111,0
239,GreatBasin.Salzer.2014.lpd.csv,-56,4524,4581,0.999781707,4581,0,0.999781707,0
240,Grenadier.McAndrews.1988.lpd.csv,-27,4631,79,58.96202532,79,0,58.96202532,0
241,GreyIslands.Cullen.2002.lpd.csv,-37,11366,79,144.3417722,70,9,143.3571429,163.6666667
242,GRIP_shakun.csv,-10,32390,1621,19.98766194,501,1120,19.96007984,20.01785714
243,Grostjorn.Eide.2009.lpd.csv,-47,8914,57,157.2105263,57,0,157.2105263,0
244,Gunnarsfjorden.Allen.2007.lpd.csv,32.185,9124.107,102,89.1364902,102,0,89.1364902,0
245,GYXO.Self.2015.lpd.csv,-56,3476,20,176.6,20,0,176.6,0
246,H214.Samson.2005.lpd.csv,590,16210,30,520.6666667,13,17,703.8461538,390
247,Haengstli.Heeb.1972.lpd.csv,211.61,7834.28,47,162.1844681,47,0,162.1844681,0
248,Hail.Cwynar.1995.lpd.csv,67,9918,53,185.8679245,53,0,185.8679245,0
249,Hams.Bennett.1987.lpd.csv,-29,11945,82,146.0243902,70,12,142.8714286,171.75
250,Hamundarstadhahals.Caseldine.2006.lpd.csv,7686.27,10738.375,30,101.7368333,26,4,88.15153846,208.76625
251,Hanging Lake.csv,0,15602.3,99,157.5989899,71,28,138.9422535,214.3071429
252,Hanging.Cwynar.1982.lpd.csv,0,61963.7,133,465.8924812,31,102,298.6967742,521.7078431
253,Hani.Zheng.2017.lpd.csv,0,16180.3,110,147.0936364,64,46,154.44375,140.2826087
254,HAP0212.vanderBilt.2016.lpd.csv,533.7,11117.3,60,176.3933333,58,2,139.8586207,1434.4
255,Harrie.King.1986.lpd.csv,-5,6805,28,243.2142857,28,0,243.2142857,0
256,Haugtjern.Eide.2009.lpd.csv,-23,8959,67,134.0597015,67,0,134.0597015,0
