time,ne_labrador,se_usa,midwest,rocky_mt,w_usa,c_canada,alaska_yukon,greenland,mediterranean,scandinavia,uk,c_north_europe,iceland,siberia,e_china_japan,tibet,se_asia,australia,new_zealand,n_indian_ocean,e_africa,s_africa,w_africa,c_atlantic,s_atlantic,e_pacific,chile,antarctica,russian_far_east,carribean,se_brazil
7800,0.554511842,0.474250646,0.431510578,0.350754551,0.309048892,0.371651688,1.293786604,0.589775244,0.767894829,0.676715518,0.812340305,0.545722023,0.601015563,3.052453842,0.474229806,0.727655483,0.210462314,0.078449984,0.021023311,0.288162912,0.093460579,0.031520439,0.075950922,0.077736951,0.263518232,0.119406507,0.067234721,1.185674442,2.017977791,0.266384325,0.234967805
7900,0.557014933,0.391394969,0.463407008,0.461131051,0.481240575,0.439383743,1.440451303,0.51039253,0.498412086,0.364891289,0.527293518,0.270222272,0.52735242,3.144653692,0.390234675,0.713636483,0.238255996,0.089805217,0.083901923,0.179287912,0.079157488,0.048564582,0.081191922,0.075146451,0.241285107,0.130662307,0.104450364,1.263816557,2.471332828,0.235941658,0.161479305
8000,0.310704587,0.301292978,0.28350467,0.412884111,0.290741742,-0.072800021,0.665139788,0.305979744,0.311685829,0.521880527,0.372468793,0.389715047,0.31183092,2.583799363,0.26109049,0.552890796,0.136789541,0.090065317,0.110625111,0.097333662,0.09712467,0.08757101,0.073198322,0.060389618,0.317526419,0.142142207,0.134981278,1.256966172,1.562690074,0.239003325,0.134944305
8100,0.072126124,0.117400234,-0.078747415,-0.021858343,-0.068797675,-0.314722849,0.244394795,-0.011887399,-0.115689176,0.081058175,-0.226842257,-0.211702257,-0.14669358,1.03607332,0.018790644,0.377250171,0.086410587,0.129729317,0.107083611,-0.002486089,0.125397852,0.123091153,0.067103322,0.029030118,0.339568894,0.081945307,0.182975492,1.037369018,-0.048533351,0.056437992,0.078411305
8200,-0.011302672,0.087418005,-0.065676852,0.064518671,0.054639042,-0.231003653,0.205254944,-0.115064185,0.043098124,-0.186931273,-0.09348197,-0.24387934,-0.187891723,0.916506092,-0.041000656,0.443719421,0.046627996,0.067119984,-0.018588014,0.006109787,0.080740033,0.119291439,0.044422522,0.016282451,0.360755919,0.084941407,0.189842378,0.981335172,0.139822957,0.093476658,0.216036805
8300,0.143260987,0.148701176,-0.023044879,-0.056284223,-0.087194092,0.02087568,0.592970075,0.070293601,-0.003618771,0.406546246,0.097752755,0.137983228,0.072155563,1.252694099,0.072638052,0.419066796,0.079845268,0.10301765,0.078497411,0.046474037,0.109248488,0.10995901,0.057399922,0.038157618,0.332192307,0.065730407,0.183222878,0.97216648,0.298208113,0.101395325,0.035967305
8400,0.277080065,0.110071004,-0.006140538,0.002337611,-0.006782008,-0.255081968,0.384556756,-0.097102899,0.169384505,-0.442497716,-0.247416957,-0.401615633,-0.33731258,1.138651299,0.092202975,0.551554046,0.028872496,0.037564117,0.042815086,0.001493537,0.048823124,0.120776439,0.000307522,-0.016665049,0.314651569,0.082759007,0.164365664,0.936486365,0.495591864,0.071131658,0.135096805
8500,0.218468142,0.153322439,0.060892118,0.043697751,-0.033300675,-0.137144294,0.35079056,0.003039172,-0.008977757,-0.30975503,-0.314968995,-0.410403394,-0.150893866,1.25033827,0.076149998,0.485012796,0.098275223,0.121274784,0.122938411,-0.033868714,0.10019167,0.125450582,0.063936722,0.038796285,0.366087369,0.053779607,0.175676178,1.023449711,0.260908173,0.045473325,-0.032708695
8600,0.134317637,0.11400914,-0.020203559,-0.051904055,-0.067427442,-0.110263767,0.469376856,-0.038028113,0.034396943,-0.137767544,-0.142526032,-0.1305109,-0.10737958,0.935439942,0.108951552,0.497979046,0.040445632,0.09734165,0.110541836,0.051933287,0.064157488,0.107587725,0.048453922,0.032036451,0.321099394,0.012251407,0.172995621,0.937651595,0.173620948,0.034621992,0.087816305
8700,0.316935055,0.046383448,0.127699666,0.089182071,-0.085607342,-0.241060236,-0.055220015,0.12597803,0.150631715,-0.129643402,-0.03127772,-0.072760177,0.034862634,1.076836999,0.116539367,0.482408296,0.054015314,0.150787117,0.140790748,0.026114037,0.076311761,0.111164725,0.069825322,0.037222618,0.358617707,0.075200807,0.208151606,1.040107711,0.216417241,0.056665658,0.174437805
